Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-SMD_L3.2-W1.6-RD,1,TAJA474K035RNJ,C11368
R1,R1206,1,1206W4F1002T5E,C17902
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SN74LVC1GU04DBVR,C81934
